,sub,onset,offset,cat,tier,group,Group,latency,latency group
622,52,93.235,94.885,wroom,Infant voc,,2.0,1.4320000000000022,cg-infant
623,1006,93.453,93.799,xxx,Infant voc,,3.0,0.2890000000000015,within person
624,1004,93.51,95.22,Dai un poco di caffè alla bambola (DA),Caregiver voc,,3.0,1.5220000000000056,infant-cg
625,21,93.698,94.302,pepe,Infant voc,,1.0,0.33600000000001273,cg-infant
626,57,93.966,95.066,prendi la palla (DA),Caregiver voc,,2.0,1.007000000000005,infant-cg
627,60,94.059,96.665,"gira, un po’ tu la paginetta che vediamo che c’è di là (DA W)",Caregiver voc,,2.0,2.5560000000000116,within person
628,10,94.109,94.523,mm,Infant voc,,1.0,0.17799999999999727,cg-infant
629,22,94.345,95.265,al tato,Infant voc,,1.0,0.7960000000000065,within person
630,1001,94.469,95.204,Mettilo (DA),Caregiver voc,,3.0,0.7309999999999945,infant-cg
631,1006,94.473,98.283,"Non ci riesci, è difficile sto qua (RO RE)",Caregiver voc,,3.0,3.7120000000000033,within person
632,1007,94.571,95.214,Guarda,Caregiver voc,,3.0,0.5309999999999917,within person
633,59,94.683,97.75,dopo la scimmiotta dove sta? (QE),Caregiver voc,,2.0,3.0250000000000057,within person
634,21,94.725,95.602,le pepe? (QE),Caregiver voc,,1.0,0.6950000000000074,within person
635,10,94.907,95.399,no? (C),Caregiver voc,,1.0,0.4210000000000065,within person
636,61,94.978,96.895,"vieni qui, vieni qui (C)",Caregiver voc,,2.0,1.8100000000000023,within person
637,1002,95.085,95.896,Gigi (NC),Caregiver voc,,3.0,0.804000000000002,within person
638,22,95.092,99.304,"allora fammi vedere cosa serve questo, che io non ho capito (DA RM)",Caregiver voc,,1.0,4.152000000000001,within person
639,1006,95.152,96.033,xxx,Infant voc,,3.0,0.7830000000000013,cg-infant
640,18,95.25,96.57,questo invece che cos’è? (QE),Caregiver voc,,1.0,1.23599999999999,infant-cg
641,1,95.334,95.611,tò,Infant voc,,1.0,0.020000000000010232,cg-infant
642,65,95.591,96.764,vieni a mangiare (DA),Caregiver voc,,2.0,1.1550000000000011,infant-cg
643,21,95.609,96.403,e questo? (QE),Caregiver voc,,1.0,0.597999999999999,within person
644,1004,95.805,96.923,Un poco di caffè	(RE),Caregiver voc,,3.0,0.9540000000000077,within person
645,1001,95.969,99.207,Bravo e questo a mamma lo vuoi mettere	(AE C RA),Caregiver voc,,3.0,2.7560000000000002,within person
646,21,96.451,97.201,cap(p)el(l)o,Infant voc,,1.0,0.7039999999999935,cg-infant
647,1002,96.497,97.412,e dai! (AE),Caregiver voc,,3.0,0.8090000000000117,infant-cg
648,1,96.603,97.668,così non ti fa male? (QO),Caregiver voc,,1.0,1.0050000000000097,within person
649,64,96.663,98.672,: perché tu non me lo hai voluto dire (RA) ,Caregiver voc,,2.0,2.0,within person
650,60,96.672,99.198,"gira, gira, gira gira (DA)",Caregiver voc,,2.0,2.0489999999999924,within person
651,1007,97.149,98.642,Vediamo che ci sta (W),Caregiver voc,,3.0,1.4050000000000011,within person
652,18,97.237,98.44,miao,Infant voc,,1.0,1.1329999999999956,cg-infant
653,1004,97.307,97.8,Tieni (DA),Caregiver voc,,3.0,0.33499999999999375,infant-cg
654,21,97.465,98.089,xxx,Caregiver voc,,1.0,0.28699999999999193,within person
655,61,97.802,99.195,vieni qui (C),Caregiver voc,,2.0,1.3199999999999932,within person
656,1,97.875,98.198,sì (CW),Infant voc,,1.0,0.0379999999999967,cg-infant
657,1,98.16,98.547,va bene (C),Caregiver voc,,1.0,0.18200000000000216,infant-cg
658,1004,98.365,99.016,dai (C),Caregiver voc,,3.0,0.6110000000000042,within person
659,21,98.405,98.879,xxx,Infant voc,,1.0,0.46699999999999875,cg-infant
660,1004,98.412,98.978,xxx,Infant voc,,3.0,0.5330000000000013,within person
661,18,98.445,101.243,miao questo?	(QA) no (AD),Caregiver voc,,1.0,2.766999999999996,infant-cg
662,52,98.476,101.457,xxx,Caregiver voc,,2.0,2.796999999999997,within person
663,60,98.66,99.808,xxx,Infant voc,,2.0,1.0900000000000034,cg-infant
664,1006,98.718,99.864,xxx,Infant voc,,3.0,1.1060000000000088,within person
665,1002,98.758,101.044,"Parla con Libera, dai parla con Libera (DA C DA)",Caregiver voc,,3.0,2.1329999999999956,infant-cg
666,64,98.911,100.303,hai visto guarda (QA DA) ,Caregiver voc,,2.0,1.1529999999999916,within person
667,10,99.15,100.53,non mi dai un po’di tè? (QA),Caregiver voc,,1.0,1.3140000000000072,within person
668,21,99.216,99.663,xxx,Infant voc,,1.0,0.3849999999999909,cg-infant
669,22,99.278,100.198,tato nana,Infant voc,,1.0,0.8459999999999894,within person
670,59,99.352,100.948,Dove sta la scimmiotta? (QE),Caregiver voc,,2.0,1.4479999999999933,infant-cg
671,1,99.5,100.209,allora (C),Caregiver voc,,1.0,0.7000000000000028,within person
672,1006,99.509,100.736,Oh (C),Caregiver voc,,3.0,1.0499999999999972,within person
673,1001,99.686,101.059,Guarda a mamma guarda (DA C DA),Caregiver voc,,3.0,1.2139999999999986,within person
674,1004,99.845,101.903,Che buono! (parla per la bambola)	(ST),Caregiver voc,,3.0,1.9390000000000072,within person
675,1007,99.964,100.682,xxx,Infant voc,,3.0,0.30700000000000216,cg-infant
676,60,100.375,102.603,gira ce la fai? Dai	(QO AE),Caregiver voc,,2.0,2.2209999999999894,infant-cg
677,22,100.382,101.067,xxx,Infant voc,,1.0,0.4679999999999893,cg-infant
678,1,100.599,101.001,qui (RE),Caregiver voc,,1.0,0.38000000000000966,infant-cg
679,61,100.621,101.3,vieni qui (C),Caregiver voc,,2.0,0.367999999999995,within person
680,1006,100.932,101.197,xxx,Infant voc,,3.0,0.23799999999999955,cg-infant
681,1007,100.959,101.289,xxx,Infant voc,,3.0,0.29999999999999716,within person
682,64,100.989,103.143,: c’è una bambola e gli faccio fare cavalluccio (RE RM) ,Caregiver voc,,2.0,2.0849999999999937,infant-cg
683,59,101.058,104.095,"dimmi dove sta, eccola (DA RE)",Caregiver voc,,2.0,3.007000000000005,within person
684,1002,101.088,101.403,sì (CW),Infant voc,,3.0,0.1530000000000058,cg-infant
685,18,101.25,104.042,cos’è? (QE) un uccellino questo.	(RE) non miao.,Caregiver voc,,1.0,2.6380000000000052,infant-cg
686,1002,101.404,102.708,Sì parla con Libera	(C DA),Caregiver voc,,3.0,1.1059999999999945,within person
687,1006,101.602,102.678,Senti (DA),Caregiver voc,,3.0,0.9969999999999999,within person
688,22,101.681,102.318,xxx,Infant voc,,1.0,0.4449999999999932,cg-infant
689,61,101.873,103.404,giochiamo a Jack che vai in cucina	(W),Caregiver voc,,2.0,1.5039999999999907,infant-cg
690,1007,101.9,102.64,La nave (RE),Caregiver voc,,3.0,0.49099999999999966,within person
691,1004,102.149,103.138,Falla bere	(DA),Caregiver voc,,3.0,0.9170000000000016,within person
692,65,102.221,103.009,Tommyyyyy	(NC),Caregiver voc,,2.0,0.7489999999999952,within person
693,57,102.26,105.85,pam (OP) faccio io (RM) prendi la palla to	(DA),Caregiver voc,,2.0,3.253,within person
694,1,102.597,103.105,i cubi,Caregiver voc,,1.0,0.49500000000000455,within person
695,60,102.61,105.743,"gira un po’, gira gira (DA C)",Caregiver voc,,2.0,3.0309999999999917,within person
696,1002,102.712,104.005,no no foto (CW),Infant voc,,3.0,1.1370000000000005,cg-infant
697,22,102.868,104.064,"vediamo, vediamo (W)",Caregiver voc,,1.0,1.1599999999999966,infant-cg
698,59,102.904,103.786,xxx,Infant voc,,2.0,0.6680000000000064,cg-infant
699,1007,103.118,104.068,Guarda (DA),Caregiver voc,,3.0,0.867999999999995,infant-cg
700,1001,103.2,104.762,"Dammi la mano, questo (DA)",Caregiver voc,,3.0,1.4740000000000038,within person
701,64,103.288,104.1,Franci (NC),Caregiver voc,,2.0,0.7279999999999944,within person
702,52,103.372,104.288,xxx,Caregiver voc,,2.0,0.7049999999999983,within person
703,23,103.583,105.398,vediamo che brava che sei (W RO),Caregiver voc,,1.0,1.6659999999999968,within person
704,10,103.732,104.723,xxx,Infant voc,,1.0,0.9470000000000027,cg-infant
705,61,103.776,106.369,"jack va in cucina, (canta) (S)",Caregiver voc,,2.0,2.4710000000000036,infant-cg
706,22,103.898,104.275,xxx,Infant voc,,1.0,0.23799999999999955,cg-infant
707,1,104.037,104.807,xxx,Infant voc,,1.0,0.7540000000000049,within person
708,18,104.053,105.698,guarda. (DA),Caregiver voc,,1.0,1.5389999999999873,infant-cg
709,1002,104.159,105.912,La foto stai facendo?	(QA),Caregiver voc,,3.0,1.6540000000000106,within person
710,1004,104.258,105.336,(ride) (AL),Caregiver voc,,3.0,0.7819999999999965,within person
711,65,104.554,105.269,Tommaso (NC),Caregiver voc,,2.0,0.554000000000002,within person
712,1006,104.715,106.802,Guarda la bimba quanto è bella,Caregiver voc,,3.0,1.865000000000009,within person
713,1007,104.937,105.943,Hai visto? (QA),Caregiver voc,,3.0,0.9789999999999992,within person
714,22,104.964,105.382,xxx,Caregiver voc,,1.0,0.382000000000005,within person
715,64,105.0,109.346,"tu vuoi farlo anche, eh lo vuoi fare anche tu? (QA C QA) ",Caregiver voc,,2.0,4.280000000000001,within person
716,59,105.066,108.485,"xxx, guarda bene guarda bene (DA C)",Caregiver voc,,2.0,3.146000000000001,within person
717,1,105.339,107.21,questa è una bambolina. (RE),Caregiver voc,,1.0,1.3489999999999895,within person
718,1001,105.861,106.94,Mettilo qua	(DA),Caregiver voc,,3.0,1.0619999999999976,within person
719,10,105.878,106.37,no? (C),Caregiver voc,,1.0,0.45400000000000773,within person
720,60,105.916,108.199,"ancora l’elefante, guarda un po’ (RE DA)",Caregiver voc,,2.0,1.850999999999999,within person
721,23,106.348,107.182,facciamo ,Caregiver voc,,1.0,0.7750000000000057,within person
722,1004,106.407,108.814,È buona? Mm mm	(QO C),Caregiver voc,,3.0,2.3529999999999944,within person
723,1007,106.461,109.797,Fai così col ditino (DA) dove sta la nave? (QE) La nave bravo	(RE AE),Caregiver voc,,3.0,3.015999999999991,within person
724,65,106.781,107.403,Tommaso (NC),Caregiver voc,,2.0,0.5490000000000066,within person
725,61,106.854,108.321,dai vieni (DA),Caregiver voc,,2.0,1.4609999999999985,within person
726,57,106.86,107.974,tira la palla (DA),Caregiver voc,,2.0,0.9180000000000064,within person
727,18,107.056,107.907,bum.,Infant voc,,1.0,0.7650000000000006,cg-infant
728,1002,107.142,108.724,"Libera, chiama chiama (DA)",Caregiver voc,,3.0,1.4579999999999984,infant-cg
729,23,107.266,108.396,una piramide (W),Caregiver voc,,1.0,1.100999999999999,within person
730,22,107.295,108.185,xxx,Infant voc,,1.0,0.23900000000000432,cg-infant
731,18,107.946,109.01,: e brum brum (OP),Caregiver voc,,1.0,1.0020000000000095,infant-cg
732,1006,108.008,109.395,Facci fare bibi	(DA AN),Caregiver voc,,3.0,1.3389999999999986,within person
733,1001,108.056,109.956,Bravo! (AE),Caregiver voc,,3.0,1.8689999999999998,within person
734,21,108.087,108.607,xxx,Caregiver voc,,1.0,0.27899999999999636,within person
735,1,108.328,109.03,questo cos’è? (QE),Caregiver voc,,1.0,0.45400000000000773,within person
736,1004,108.576,109.403,xxx,Infant voc,,3.0,0.8060000000000116,cg-infant
737,23,108.597,109.003,vuoi? (QA),Caregiver voc,,1.0,0.23799999999999955,infant-cg
738,61,108.765,110.602,xxx,Caregiver voc,,2.0,1.7019999999999982,within person
739,1002,108.9,109.724,no (CW),Infant voc,,3.0,0.8170000000000073,cg-infant
740,60,108.907,110.522,"guarda la giraffa, che collo lungo (DA RE)",Caregiver voc,,2.0,1.3719999999999999,infant-cg
741,21,109.15,109.612,xxx,Infant voc,,1.0,0.4609999999999985,cg-infant
742,10,109.151,109.808,xxx,Infant voc,,1.0,0.6240000000000094,within person
743,23,109.184,111.678,con tutti i giochi dai. (DA) vediamo che brava (W RO),Caregiver voc,,1.0,2.483000000000004,infant-cg
744,65,109.195,110.069,Tommyyy (NC),Caregiver voc,,2.0,0.8419999999999987,within person
745,59,109.227,110.191,xxx,Caregiver voc,,2.0,0.8680000000000092,within person
746,1002,109.323,111.488,"Telefona a Libera dai, fai il numero	(DA C DA)",Caregiver voc,,3.0,2.149000000000001,within person
747,1,109.339,110.646,ohhh,Infant voc,,1.0,0.8239999999999981,cg-infant
748,10,109.822,110.621,il tè dai. (RE C),Caregiver voc,,1.0,0.6209999999999951,infant-cg
749,64,110.0,116.073,"lo vuoi fare anche tu, sì e come si dice (RA C QA) ",Caregiver voc,,2.0,6.064999999999998,within person
750,1001,110.008,112.016,Aspetta a mamma vieni qua	(DA C DA),Caregiver voc,,3.0,2.0050000000000097,within person
751,60,110.011,111.205,xxx,Infant voc,,2.0,1.1230000000000047,cg-infant
752,18,110.082,111.054,bum bum bum.	 (CWOP),Infant voc,,1.0,0.9390000000000072,within person
753,1006,110.115,113.21,Ninna nanna	(AR),Caregiver voc,,3.0,2.685999999999993,infant-cg
754,60,110.524,114.348,"Lorenzo, la vedi la giraffa che collo lungo? (NC QA)",Caregiver voc,,2.0,3.7789999999999964,within person
755,1004,110.569,111.805,Facciamo sedere (W),Caregiver voc,,3.0,1.1440000000000055,within person
756,1,110.661,111.468,cos’è questo? (QE),Caregiver voc,,1.0,0.6670000000000016,within person
757,59,110.801,114.154,"eccola, qui dove sta? (C QE RE)",Caregiver voc,,2.0,3.3429999999999893,within person
758,21,110.811,111.445,xxx,Infant voc,,1.0,0.3810000000000002,cg-infant
759,18,111.064,113.44,brum brum. (OP) e questo cos’è? (QE) il telefono?,Caregiver voc,,1.0,2.2420000000000044,infant-cg
760,22,111.198,112.807,xxx,Infant voc,,1.0,1.3389999999999986,cg-infant
761,1,111.468,112.866,xxx,Infant voc,,1.0,1.350999999999999,within person
762,61,111.515,112.795,xxx,Infant voc,,2.0,1.105000000000004,within person
763,61,111.69,113.206,adesso è contenta (RO),Caregiver voc,,2.0,1.3329999999999984,infant-cg
764,23,111.873,115.377, con questi (RE) vediamo se metti insieme quelli dello stesso colore (W RA),Caregiver voc,,1.0,3.367999999999995,within person
765,21,112.009,112.687,xxx,Infant voc,,1.0,0.37999999999999545,cg-infant
766,1004,112.307,113.069,Moic (W),Caregiver voc,,3.0,0.7560000000000002,infant-cg
767,1007,112.313,113.441,La polizia (RE),Caregiver voc,,3.0,0.7280000000000086,within person
768,65,112.713,115.087,"Tommy, ascolta la mamma, Tommy (NC DA NC)",Caregiver voc,,2.0,2.2510000000000048,within person
769,64,112.836,113.81,xxx,Infant voc,,2.0,0.9300000000000068,cg-infant
770,1,112.88,113.568,cos’è questo? ( - ),Caregiver voc,,1.0,0.29999999999999716,infant-cg
771,22,113.268,116.129,ma trattala bene la lata poverina dai (DA C),Caregiver voc,,1.0,2.847999999999999,within person
772,21,113.281,113.741,xxx,Caregiver voc,,1.0,0.34900000000000375,within person
773,1001,113.392,115.141,Proviamo a chiamare a mama Imma? (telefono)	(W),Caregiver voc,,3.0,1.5799999999999983,within person
774,1004,113.561,114.214,xxx,Infant voc,,3.0,0.6460000000000008,cg-infant
775,1,113.568,113.965,un? ( - ),Caregiver voc,,1.0,0.28300000000000125,infant-cg
776,1002,113.682,115.802,"Di qua giralo il telefono, giralo (DA C)",Caregiver voc,,3.0,2.0970000000000084,within person
777,61,113.705,115.351,xxx,Caregiver voc,,2.0,1.5210000000000008,within person
778,57,113.83,117.594,"facciamo un po’ questo gioco qui (W), ecco facciamo il caffè, (W C)",Caregiver voc,,2.0,3.5929999999999893,within person
779,1,114.001,114.929,(ae)reo,Infant voc,,1.0,0.7600000000000051,cg-infant
780,59,114.169,118.514,no qui dove sta? xxx Eccola (C QE RE) ,Caregiver voc,,2.0,4.313999999999993,infant-cg
781,61,114.2,116.104,xxx,Infant voc,,2.0,1.867999999999995,cg-infant
782,1006,114.236,116.882,Bella la bimba (RE),Caregiver voc,,3.0,2.2990000000000066,infant-cg
783,64,114.583,115.039,xxx,Infant voc,,2.0,0.33899999999999864,cg-infant
784,52,114.7,115.854,xxx,Infant voc,,2.0,1.1400000000000006,within person
785,1004,114.714,117.46,"Ok e falla mangiare, tieni col cucchiaino (C DA DA)",Caregiver voc,,3.0,2.5009999999999906,infant-cg
786,1,114.959,115.606,un aereo? (QE),Caregiver voc,,1.0,0.22499999999999432,within person
787,1007,115.381,116.114,Guarda (DA),Caregiver voc,,3.0,0.7289999999999992,within person
788,10,115.385,116.005,ancora (CW),Infant voc,,1.0,0.5090000000000003,cg-infant
789,18,115.496,117.145,cos’è questo il telefono?	 ( - ),Caregiver voc,,1.0,1.5330000000000013,infant-cg
790,65,115.612,117.15,il treno deve arrivare qui!!! (RE),Caregiver voc,,2.0,1.429000000000002,within person
791,21,115.721,116.089,xxx,Infant voc,,1.0,0.3289999999999935,cg-infant
792,60,115.76,118.789,"gira ancora, giri (DA C)",Caregiver voc,,2.0,2.9890000000000043,infant-cg
793,1,115.8,116.196,sì (CW),Infant voc,,1.0,0.29599999999999227,cg-infant
794,61,115.9,116.358,xxx,Caregiver voc,,2.0,0.35999999999999943,infant-cg
795,23,115.998,116.426,dai (C),Caregiver voc,,1.0,0.41100000000000136,within person
796,10,116.015,116.728,ancora? (QE),Caregiver voc,,1.0,0.6769999999999925,within person
797,22,116.051,116.807,xxx,Infant voc,,1.0,0.4720000000000084,cg-infant
798,1,116.335,118.608,come quelli che ti ha portato a vedere papà in aeroporto? (QE),Caregiver voc,,1.0,2.0190000000000055,infant-cg
799,61,116.589,118.099,xxx,Infant voc,,2.0,1.2250000000000085,cg-infant
800,21,116.874,117.802,xxx,Infant voc,,1.0,0.9210000000000065,within person
801,22,116.881,120.604,xxx lo vuoi tenere in braccio (QA),Caregiver voc,,1.0,3.6099999999999994,infant-cg
802,64,116.994,120.39,xxx ,Infant voc,,2.0,3.2879999999999967,cg-infant
803,59,117.102,117.808,xxx,Infant voc,,2.0,0.5620000000000118,within person
804,65,117.246,117.991,no (CW),Infant voc,,2.0,0.7129999999999939,within person
805,23,117.278,117.994,allora (C),Caregiver voc,,1.0,0.27599999999999625,infant-cg
806,52,117.718,118.977,ta(gl)iare,Infant voc,,2.0,1.2460000000000093,cg-infant
807,1006,117.731,119.105,xxx,Caregiver voc,,3.0,1.3140000000000072,infant-cg
808,64,117.791,125.595,e come che si dice? [verso cavallo] come che si dice? [verso cavallo] ( - OP QA) ,Caregiver voc,,2.0,7.747,within person
809,22,117.848,118.915,b(r)accio,Infant voc,,1.0,1.0260000000000105,cg-infant
810,65,117.889,119.349,Si (C),Caregiver voc,,2.0,1.350999999999999,infant-cg
811,21,117.998,119.609,cosa mangia in quello? (QA),Caregiver voc,,1.0,1.3129999999999882,within person
812,1004,118.296,119.712,Fai mangiare la bambola ( / ),Caregiver voc,,3.0,1.171999999999997,within person
813,23,118.54,119.317,mama,Infant voc,,1.0,0.7459999999999951,cg-infant
814,1007,118.571,120.062,Guarda Chicco guarda (DA NC DA),Caregiver voc,,3.0,1.4789999999999992,infant-cg
815,23,118.583,119.227,vediamo (W),Caregiver voc,,1.0,0.6170000000000044,within person
816,1,118.61,119.006,sì (CW),Infant voc,,1.0,0.1869999999999976,cg-infant
817,10,118.819,120.764,anche Mariella vuole un po’ di tè?	(NC QA),Caregiver voc,,1.0,1.759999999999991,infant-cg
818,18,119.004,120.342,: come si chiama questo amore? (QE NE),Caregiver voc,,1.0,1.3359999999999985,within person
819,1,119.006,119.705,come facevano? (QE),Caregiver voc,,1.0,0.6979999999999933,within person
820,52,119.007,120.114,vuoi tagliare (QA),Caregiver voc,,2.0,0.9990000000000094,within person
821,61,119.115,119.591,xxx,Infant voc,,2.0,0.1869999999999976,cg-infant
822,59,119.404,121.455,qui non c’è più niente (RE),Caregiver voc,,2.0,1.715999999999994,infant-cg
823,1001,119.739,122.409,Imma? chiama a mamma (SB DA C) Imma? (SB),Caregiver voc,,3.0,2.6140000000000043,within person
824,1002,119.795,120.499,E gira	(DA),Caregiver voc,,3.0,0.7019999999999982,within person
825,57,119.797,123.122,facciamo così sshh (OP),Caregiver voc,,2.0,3.2960000000000065,within person
826,23,119.826,121.881,vediamo la Beatrice che brava (W NC RO),Caregiver voc,,1.0,1.9950000000000045,within person
827,1,119.886,120.866,[fa il verso dell’aereo]	(CWOP),Infant voc,,1.0,0.7870000000000061,cg-infant
828,1006,120.079,127.846,Xxx la bimba	xxx (I),Caregiver voc,,3.0,7.765000000000001,infant-cg
829,22,120.081,122.81,"a mamma, a mamma (CW)",Infant voc,,1.0,2.716000000000008,cg-infant
830,21,120.094,121.201,cosa si mangia la ( - ),Caregiver voc,,1.0,1.0789999999999935,infant-cg
831,23,120.122,120.805,xxx,Infant voc,,1.0,0.6030000000000086,cg-infant
832,1007,120.202,123.064,Chi è? Manuela?  (QE) Fai ciao a Manuela fai ciao (DA),Caregiver voc,,3.0,2.651999999999987,infant-cg
833,18,120.412,121.151,tello,Infant voc,,1.0,0.5519999999999925,cg-infant
834,52,120.599,124.47,"non si può tagliare adesso, ci sono tanti giochi, Joele, vieni, vieni qua (RA C)",Caregiver voc,,2.0,3.8689999999999998,infant-cg
835,1,120.601,121.997,[fa il verso dell’aereo]	(OP),Caregiver voc,,1.0,1.1820000000000022,within person
836,60,120.815,121.799,gira Lorenzo	 (DA NC),Caregiver voc,,2.0,0.8070000000000022,within person
837,1004,120.992,122.192,Fai mangiare		(C),Caregiver voc,,3.0,1.1159999999999997,within person
838,65,121.076,123.534,guarda lì c’è una galleria per il treno (DA RE),Caregiver voc,,2.0,2.2520000000000095,within person
839,18,121.282,122.375,: tello sì. (AM C),Caregiver voc,,1.0,0.605000000000004,within person
840,1004,121.77,123.598,xxx,Infant voc,,3.0,1.5960000000000036,cg-infant
841,1,122.002,123.024,sempre più in alto. (RE),Caregiver voc,,1.0,1.0,infant-cg
842,21,122.024,122.799,xxx,Caregiver voc,,1.0,0.45300000000000296,within person
843,10,122.346,123.194,te lo metto? (QM),Caregiver voc,,1.0,0.8380000000000081,within person
844,23,122.356,123.044,allora (C),Caregiver voc,,1.0,0.1599999999999966,within person
845,22,122.884,126.398,la mamma vuoi che gli canti la ninna nanna? (QM) lo devo coprire (QM),Caregiver voc,,1.0,3.4549999999999983,within person
846,1004,122.943,126.97,"La pappa, la pappa bravo (RE AE) Non negli occhi, in bocca	 (RE)",Caregiver voc,,3.0,4.013999999999996,within person
847,1001,122.956,124.173,Lucia? ( / ),Caregiver voc,,3.0,0.9189999999999969,within person
848,18,123.254,124.659,: e questo qua? (QE),Caregiver voc,,1.0,1.2680000000000007,within person
849,60,123.391,124.705,gira mamma	(DA),Caregiver voc,,2.0,1.191999999999993,within person
850,23,123.513,124.19,questo? (QE),Caregiver voc,,1.0,0.4819999999999993,within person
851,10,123.708,125.267,vieni qua per piacere? (QA),Caregiver voc,,1.0,1.5570000000000022,within person
852,57,123.71,124.684,xxx,Caregiver voc,,2.0,0.9129999999999967,within person
853,65,123.771,124.281,lì (C),Caregiver voc,,2.0,0.4890000000000043,within person
854,61,123.792,125.721,xxx,Infant voc,,2.0,1.8170000000000073,cg-infant
855,1,123.904,125.485,aveva tutte le luci però. (RE),Caregiver voc,,1.0,1.566999999999993,infant-cg
856,1007,123.918,126.7,Fai ciao a Manuela butti il bacino con la manina a Manuela ( / DA),Caregiver voc,,3.0,2.6170000000000044,within person
857,1002,124.083,124.952,(risata) (AL),Caregiver voc,,3.0,0.37000000000000455,within person
858,21,124.582,126.327,bevi? Buona? (QA QE),Caregiver voc,,1.0,1.6219999999999999,within person
859,1001,124.705,126.607,"Chiama a mamma, vediamo pronto?	(DA C W AG)",Caregiver voc,,3.0,1.8370000000000033,within person
860,18,124.77,127.81,cip cip. (OP) non ti ricordi più l’uccellino come fa (RO),Caregiver voc,,1.0,2.8769999999999953,within person
861,59,124.933,128.705,"qui scimmiotta, la scimmiotta (RE)",Caregiver voc,,2.0,3.7600000000000193,within person
862,60,124.945,126.196,"tirati su, tu (DA)",Caregiver voc,,2.0,1.233000000000004,within person
863,23,124.963,126.404,qual è più piccolo? (QE),Caregiver voc,,1.0,0.914999999999992,within person
864,1,125.489,125.764,vero? (C),Caregiver voc,,1.0,-0.0040000000000048885,within person
865,1,125.768,126.404,accese (RE),Caregiver voc,,1.0,0.4899999999999949,within person
866,64,125.914,126.31,xxx,Caregiver voc,,2.0,0.29399999999999693,within person
867,52,126.016,128.4,"mettila via la forbice dai, che è pericolosa (DA C RE)",Caregiver voc,,2.0,2.3100000000000023,within person
868,57,126.09,128.435,"ahm, che buono (C RE)",Caregiver voc,,2.0,1.9669999999999987,within person
869,23,126.468,127.087,sì (CW),Infant voc,,1.0,0.578000000000003,cg-infant
870,61,126.509,127.88, cosa hai fatto? (QA),Caregiver voc,,2.0,1.2849999999999966,infant-cg
871,64,126.595,128.605,xxx ,Caregiver voc,,2.0,1.9699999999999847,within person
872,22,126.635,127.007,siii,Infant voc,,1.0,0.20400000000000773,cg-infant
873,23,126.803,127.992,e che colore è questo? (QE),Caregiver voc,,1.0,1.1270000000000095,infant-cg
874,10,126.865,128.008,glugluglu@o. (OP),Caregiver voc,,1.0,0.9020000000000152,within person
875,22,127.106,128.903,e come si fa a coprire (QA),Caregiver voc,,1.0,1.698999999999998,within person
876,61,127.204,129.314,xxx,Infant voc,,2.0,2.1059999999999945,cg-infant
877,1007,127.208,128.196,Smack  (OP),Caregiver voc,,3.0,0.8889999999999958,infant-cg
878,1004,127.307,131.909,Ah mangi tu (ride) (C RA AL) Bravo bravo (AE),Caregiver voc,,3.0,4.516999999999996,within person
879,60,127.392,131.026,"ah sono andati tutti a dormire, guarda un po’ che dormono tutti (C	RE	DA)",Caregiver voc,,2.0,3.2250000000000085,within person
880,1002,127.801,129.676,Guarda questo come è bello mamma guarda	(DA C DA),Caregiver voc,,3.0,1.8749999999999858,within person
881,1002,127.801,128.424,xxx,Infant voc,,3.0,0.6070000000000135,cg-infant
882,21,127.817,128.609,acqua (RE),Caregiver voc,,1.0,0.7250000000000085,infant-cg
883,1006,127.884,128.346,xxx,Infant voc,,3.0,0.38000000000000966,cg-infant
884,1,127.966,128.411,sì (RE),Infant voc,,1.0,0.3789999999999907,within person
885,1001,128.032,129.059,Pronto? (SB),Caregiver voc,,3.0,0.9250000000000114,infant-cg
886,23,128.134,129.202,grande (CW),Infant voc,,1.0,0.8449999999999989,cg-infant
887,1006,128.357,130.572,xxx (I) Giochiamo (W),Caregiver voc,,3.0,2.1970000000000027,infant-cg
888,59,128.375,129.117,xxx,Infant voc,,2.0,0.5589999999999975,cg-infant
889,1007,128.558,129.463,Smack (OP),Caregiver voc,,3.0,0.7419999999999902,infant-cg
890,10,128.721,130.175,qua bevi uuhh@o. (DA OP),Caregiver voc,,1.0,1.4230000000000018,within person
891,64,128.752,130.447,so che lo dici a casa (RM RA) ,Caregiver voc,,2.0,1.5690000000000168,within person
892,52,128.878,134.041,"Joele Joele, non abbiamo neanche un foglio per tagliare, metti via dai (NC NC W DA C)",Caregiver voc,,2.0,5.078000000000003,within person
893,59,128.963,131.647,"quella, qui non c’è niente (RE)",Caregiver voc,,2.0,2.573999999999984,within person
894,22,129.073,129.998,xxx,Infant voc,,1.0,0.7639999999999816,cg-infant
895,61,129.234,133.058,Francesca ha giocato con la palla prima? (NC QA),Caregiver voc,,2.0,3.7779999999999916,infant-cg
896,57,129.28,131.07,to mangia su mangia (DA C),Caregiver voc,,2.0,1.733000000000004,within person
897,65,129.337,131.478,"lì, lì la galleriaa (RE)",Caregiver voc,,2.0,1.9339999999999975,within person
898,23,129.544,131.001,e quello è grande. (RE),Caregiver voc,,1.0,1.1280000000000143,within person
899,1002,129.873,130.598,xxx,Infant voc,,3.0,0.4490000000000123,cg-infant
900,61,130.149,131.607,xxx,Infant voc,,2.0,1.4019999999999868,within person
